id;idManufacturer;title;description;isActual;isSale
;Производитель;Артикул товара;Полное наименование;актуальный;в продаже
228;1;225253;Анкеp для высоких нагpузок SZ-B 12-30;1;1
229;1;225254;Клиновой анкер BZ plus 12-125/220;1;1
230;1;225255;Клиновой анкер BZ plus 20-30/165;1;1
231;1;225256;Анкерный болт М24;1;1
232;1;225257;Анкерный болт М30;1;1
233;1;225258;Клиновой анкер 8/80;1;1
234;1;225259;Клиновой анкер В 12/15/30/110;1;1
235;1;225260;Клиновой анкер В 10/15/21/90;1;1
236;1;225261;Клиновой анкер В 12/50/65/145;1;1
237;1;225262;Клиновой анкер 6/40;1;1
238;1;225263;Анкер универсальный MQL-S 8х80;1;1
239;1;225264;Анкер универсальный MQL-S 8х100;1;1
240;1;225265;Анкер универсальный MQLK-STB 10х120;1;1
241;1;225266;Универсальный анкер MQL-SS 10х80;1;1
242;1;225267;Анкер забивной латунный М8;1;1
243;1;225268;Анкер забивной латунный М10;1;1
244;1;225269;Анкер универсальный  10х100;1;1
245;1;225270;Анкер болт 8х60;1;1
246;1;225271;Фасадный анкер 10х80;1;1
247;1;225272;Клиновой анкер 6/55;1;1
248;1;225273;Анкер шуруп 10/120 MBK-STBr;1;1
249;1;225274;Анкер забивной латунный М12;1;1
250;1;225275;Анкер забивной латунный М16;1;1
251;1;225276;Забивной анкер М8/30;1;1
252;1;225277;Забивной анкер М10/40;1;1
253;1;225278;Забивной анкер М12/50;1;1
254;1;225279;Анкер М10 латунный разрезной;1;1
255;1;225280;Клиновой анкер 10/95 ;1;1
256;1;225281;Клиновой анкер 10/120;1;1
257;1;225282;Болт анкерный металлический М6х55;1;1
258;1;225283;Анкер рамный HRD-H 10X140;1;1
259;1;225284;Анкер усиленный M6;1;1
260;1;225285;Анкерный шуруп S-CSA HEX 6x45/5;1;1
261;1;225286;Анкерный шуруп S-CSA HEX 6x100/45/60;1;1
262;1;225287;Клеевой анкер EAX 410C (НА ОСНОВЕ ЭПОКСИАКРИЛАТНОЙ СМОЛЫ, без стирола);1;1
263;1;225288;Клеевой анкер  EPX 400 S (эпоксид, без стирола);1;1
264;1;225289;Пистолет для инъекционной массы для EPX400S;1;1
265;1;225290;Пистолет для инъекционной массы для EAF410C/EPF410C;1;1
266;1;225291;Шпилька для хим. анкеровки FTR M8x110 ;1;1
267;1;225292;Шпилька для хим. анкеровки FTR M12x160 ;1;1
268;1;225293;Штанга резьбовая М16х2000 DIN975 Zn;1;1
269;1;225294;Гайка шестигранная М16 DIN 934 пр.5.0 Zn;1;1
270;1;225295;Шайба плоская 16 DIN 125 Zn;1;1
271;1;225296;Саморез JT3 -2H- 4,8 x 19 E14;1;1
272;1;225297;Болт 1.1 М20х600 09Г2С ГОСТ 24379.1-2012;1;1
273;1;225298;Шайба М20 09Г2С-6 ГОСТ 11371-78;1;1
274;1;225299;Гайка М20 09Г2С ГОСТ ISO 4032-2014;1;1
275;1;225300;Болт М24х80 20G2R ГОСТ 7798 кл.проч. 8.8 горячий цинк;1;1
276;1;225301;Болт М20х75 20G2R ГОСТ 7798 кл.проч. 8.8 горячий цинк;1;1
277;1;225302;Болт М16х60 20G2R ГОСТ 7798 кл.проч. 8.8 горячий цинк;1;1
278;1;225303;Гайка М24 20G2R ГОСТ 5915 кл.проч. 8.8 горячий цинк;1;1
279;1;225305;Болт М30х120 20G2R ГОСТ 7798 кл.проч. 8.8 горячий цинк;1;1
280;1;225307;Болт М20х6520G2R ГОСТ 7798 кл.проч. 8.8 горячий цинк ;1;1
281;1;225308;Болт М16х55 20G2R ГОСТ 7798 кл.проч. 8.8 горячий цинк;1;1
282;1;225309;Болт М12х50 20G2R ГОСТ 7798 кл.проч. 8.8 горячий цинк;1;1
283;1;225310;Болт М10х40 20G2R ГОСТ 7798 кл.проч. 8.8 горячий цинк;1;1
284;1;225311;Болт М8х30 20G2R ГОСТ 7798 кл.проч. 8.8 горячий цинк;1;1
285;1;225312;Гайка М20 20G2R ГОСТ 5915 кл.проч. 8.8 горячий цинк;1;1
286;1;225313;Гайка М16  20G2R ГОСТ 5915 кл.проч. 8.8 горячий цинк;1;1
287;1;225314;Гайка М12 20G2R ГОСТ 5915 кл.проч. 8.8 горячий цинк;1;1
288;1;225315;Гайка М10 20G2R ГОСТ 5915 кл.проч. 8.8 горячий цинк;1;1
289;1;225316;Гайка М8 20G2R ГОСТ 5915 кл.проч. 8.8 горячий цинк;1;1
290;1;225317;#Н/Д;1;1
291;1;225318;#Н/Д;1;1
292;1;225319;Резьбовая шпилька FIS A (8.8 оцинкованная сталь) M12x1000/70 мм;1;1
293;1;225320;Шпилька DIN 975 М8х1000 класс прочности 8.8;1;1
294;1;225321;Шпилька DIN 975 М16х2000 класс прочности 8.8;1;1
295;1;225322;Химический анкер HIT-RE 500 V3 (330ml);1;1
296;1;225323;Гвоздь для профнастила X-ENP-19;1;1
297;1;225325;#Н/Д;1;1
298;1;225326;#Н/Д;1;1
299;1;225327;Стяжка нейлоновая КСС 4х200 (100 шт);1;1
300;1;225328;Анкерная группа ЗД-30/6/1200 ;1;1
301;1;225329;Шайба-гровер М8;1;1
302;1;225330;Гайка со стопорным кольцом М8 (поворотная петля);1;1
303;1;225331;​​​​​Гайка с шайбой М12 ТД;1;1
304;1;225332;Шайба-гровер М18;1;1
305;1;225333;Шайба-гровер М20;1;1
306;1;225334;Шайба М 18;1;1
307;1;225335;Гайка со стопорным кольцом М12;1;1
308;1;225336;Гайка самозатягивающаяся;1;1
309;1;225337;Шайба увеличенная М24/9021 ТД                              ;1;1
310;1;225338;Шайба увеличенная М20/9021 ТД;1;1
311;1;225339;Анкер химический VMU plus-Polar 420;1;1
312;1;225340;Стандартный анкер с болтом М6;1;1
313;1;225341;Шайба 6 125;1;1
314;1;225342;Шайба 80х80х16;1;1
315;1;225343;Шайба 100х100х20;1;1
316;1;225344;Шайба стопорная с внутренними зубцами М16 ГОСТ 10462-81;1;1
317;1;225345;Шайба А.12.01-901;1;1
318;1;225346;Шайба А.16.01-901;1;1
319;1;225347;Шайба А.20.01-901;1;1
320;1;225348;Шайба А.30.01-901;1;1
321;1;225349;Пистолет для герметиков и монтажного клея;1;1
322;1;225350;Герметик силиконовый универсальный (280 мл);1;1
323;1;225351;Шайба монтажная ШМ8 ТД;1;1
324;1;225352;Шайба монтажная ШМ10 ТД;1;1
325;1;225353;Шайба монтажная ШМ12 ТД;1;1
326;1;225354;Болт М12x1,5-6gx45 ГОСТ 7796-70;1;1
327;1;225355;Шайба 12Л ГОСТ 6402-70;1;1
328;1;225356;Шайба C 12.37 ГОСТ 10450-78;1;1
329;1;225357;Гайка М12x1,5-6H (S21) ГОСТ 5915-70;1;1
330;1;225358;Шайба паронитовая 8.4 х 40 х 2 мм;1;1
331;1;225359;Шпилька VMU-A M16 - 95/230;1;1
332;1;225360;Шпилька VMU-A M12 - 10/135;1;1
333;1;225361;Шпилька VMU-A М16/380 (нержавеющая сталь) ;1;1
334;1;225362;Шпилька VMU-A М24/300 (горячий цинк);1;1
335;1;225363;Шпилька VMU-A М20/400 (горячий цинк);1;1
336;1;225364;Анкер для пустотелых конструкций М8x37;1;1
337;1;225365;Трос стальной DIN 3055 (6x7) М2 (бобина 200 м.);1;1
338;1;225366;Гайка монтажная 100;1;1
339;1;225367;Болт М12x1,75-6gx35.88 ГОСТ 7798-70 ТД;1;1
340;1;225368;Болт М12x1,75-6gx45.88 ГОСТ 7798-70 ТД;1;1
341;1;225369;Болт М12x1,75-6gx65 ГОСТ 7796-70 ТД;1;1
342;1;225370;Шайба A 12.37 ГОСТ 11371-78 ТД;1;1
343;1;225371;Шайба 12 ГОСТ 6402-70 ТД;1;1
344;1;225372;Шайба A 12.37 ГОСТ 6958-78 ТД;1;1
345;1;225373;Гайка М12x1,75-6H (S18) ГОСТ 5915-70 ТД;1;1
346;1;225374;Шайба 12.09Г2С ГОСТ 9065-75;1;1
347;1;225375;Шайба 16.09Г2С ГОСТ 9065-75;1;1
348;1;225376;Шайба 20.09Г2С ГОСТ 9065-75;1;1
349;1;225377;Шайба 24.09Г2С ГОСТ 9065-75;1;1
350;1;225378;Шайба 30.09Г2С ГОСТ 9065-75;1;1
351;1;225379;Гайка АМ12-6Н.4ОХ.М.2.О112 ГОСТ 9064-75;1;1
352;1;225380;Гайка АМ16-6H.40X.lV.2.0112 ГОСТ 9064-75;1;1
353;1;225381;Гайка АМ2О-6Н.4ОХ.№2.О112 ГОСТ 9064-75;1;1
354;1;225382;Гайка АМ24-6Н.4ОХ.№2.О112 ГОСТ 9064-75;1;1
355;1;225383;Гайка АМЗО-6Н.4ОХ.М.2.О112 ГОСТ 9064-75;1;1
356;1;225384;Болт М16-69(50.58.0112 ГОСТ 15589-70;1;1
357;1;225385;Болт М16-фх55.58.О112 ГОСТ 15589-70;1;1
358;1;225386;Шпилька AM12-6gx70.25.40X.lV.2.0112 ГОСТ 9066-75;1;1
359;1;225387;Шпилька AM12-6gx80.25.40X.lV.2.0112 ГОСТ 9066-75;1;1
360;1;225388;Шпилька AM16-6gx100.32.40X.lV.2.0112 ГОСТ 9066-75;1;1
361;1;225389;Шпилька AM20-6gx120.40.40X.lV.2.0112 ГОСТ 9066-75;1;1
362;1;225390;Шпилька AM20-6gx140.40.40X.lV.2.0112 ГОСТ 9066-75;1;1
363;1;225391;Шпилька AM24-6gx250.58.40X.lV.2.0112 ГОСТ 9066-75;1;1
364;1;225392;Шпилька AM30-6gx200.60.40X.lV.2.0112 ГОСТ 9066-75;1;1
365;1;225393;Шпилька А2М16-6gx80.2Z32.40X.lV.2.0112 ГОСТ 9066-75;1;1
366;1;225394;Шпилька A2M20-6gx140.28/40.40X.lV.2.0112 ГОСТ 9066-75;1;1
367;1;225395;Шпилька AM20-6gx150.40.40X.lV.2.0112 ГОСТ 9066-75;1;1
368;1;225396;#Н/Д;1;1
369;1;225397;#Н/Д;1;1
370;1;225398;Саморез б/пассивированный 3,9х32, оконный;1;1
371;1;225399;Стяжка нейлоновая 10х500 (черная);1;1
372;1;225400;Подвес шарнирный для профлиста ST10 х 100;1;1
373;1;225401;Шайба 8/40 ТД;1;1
374;1;225402;Шайба 8/125 ТД;1;1
375;1;225403;Гайка с прессшайбой М8 ТД;1;1
376;1;225405;Шайба 6/125 ТД;1;1
377;1;225406;Гайка с прессшайбой М6 ТД;1;1
378;1;225407;Винт с полукруглой головкой М6 х 20 ТД;1;1
379;1;225408;Шайба 10/125 ТД;1;1
380;1;225409;Болт шестигранный  М10/20 ТД;1;1
381;1;225410;Гайка с прессшайбой М12 ТД;1;1
382;1;225411;Шайба пружинная М12;1;1
383;1;225412;Гайка с прессшайбой М10 ТД;1;1
384;1;225413;Болт шестигранный  М10/30 ТД;1;1
385;1;225414;Шайба 24/125 ТД;1;1
386;1;225415;Шайба 30/125 ТД;1;1
387;1;225416;Шайба пружинная тарельчатая М 8 DIN 6796;1;1
388;1;225417;Шайба пружинная тарельчатая М 10 DIN 6796;1;1
389;1;225418;Шайба пружинная тарельчатая М 12 DIN 6796;1;1
390;1;225419;Шайба пружинная тарельчатая М 16 DIN 6796;1;1
391;1;225420;Гайка с прессшайбой М16 ТД;1;1
392;1;225421;Шайба М20/125 ТД;1;1
393;1;225422;Шайба М14/125 ТД;1;1
394;1;225423;Шайба М16/125 ТД;1;1
395;1;225425;Шайба 5 мм DIN125;1;1
396;1;225426;Шайба М18/125;1;1
397;1;225427;Шайба квадратная ШК10;1;1
398;1;225815;Шуруп по бетону MRS 7.5х60;1;1
399;1;225816;Шуруп с прессшайбой 4.2 x25 ;1;1
400;1;225823;Шуруп по бетону MMS-ST 8 x 25;1;1
401;1;225834;Шуруп по бетону MMS-ST 12 x 25;1;1
402;1;225835;Шуруп по бетону MMS-ST 12 x 35;1;1
403;1;225836;Шуруп самосверлящий 4.8*16;1;1
404;1;225837;Самосверлящий винт с шайбой 6.3x50 ;1;1
