id;idDescriptor;idGroup;code;title;imageURL;description;idLoadDiagram
;;Идентификатор товарной группы;Номер товарной подгруппы;Название товарной подгруппы;Ссылка на картинку аватарку товарной подгруппы;Описание товарной подгруппы;Идентификатор картинки со схемой нагрузки
351;;56;1487;Фиксирующий хомут XR - H 20 DN ;./webfiles/1487.png;Описание товарной группы Фиксирующий хомут XR - H 20 DN ;
352;;56;1491;Хомут для вентиляционных труб 2G;./webfiles/1491.png;Описание товарной группы Хомут для вентиляционных труб 2G;
353;;56;1510;Хомут для вентиляционных труб 2G-N;./webfiles/1510.png;Описание товарной группы Хомут для вентиляционных труб 2G-N;
354;;56;1511;Хомут для вентиляционных труб 1G-N;./webfiles/1511.png;Описание товарной группы Хомут для вентиляционных труб 1G-N;
355;;56;1512;Хомут для вентиляционных труб 1G-N  со звукоизоляцией;./webfiles/1512.png;Описание товарной группы Хомут для вентиляционных труб 1G-N  со звукоизоляцией;
356;;56;1509;Хомут для вентиляционных труб PLU;./webfiles/1509.png;Описание товарной группы Хомут для вентиляционных труб PLU;
357;;56;1495;Хомут Ratio K 2000 для пластиковых труб;./webfiles/1495.png;Описание товарной группы Хомут Ratio K 2000 для пластиковых труб;
358;;56;1496;Хомут Ratio S;./webfiles/1496.png;Описание товарной группы Хомут Ratio S;
359;;56;1497;Хомут Ratio LS  с изоляцией;./webfiles/1497.png;Описание товарной группы Хомут Ratio LS  с изоляцией;
360;;57;1493;Лента звукоизоляционная для хомутов SBR EPDM STD;./webfiles/1493.png;Описание товарной группы Лента звукоизоляционная для хомутов SBR EPDM STD;
361;;57;1494;Лента звукоизоляционная силиконовая для хомутов STD;./webfiles/1494.png;Описание товарной группы Лента звукоизоляционная силиконовая для хомутов STD;
362;;12;1665;Опора СТ;./webfiles/1665.png;Опоры типа СТ;
